,Date,ActualSales
0,1970-01-01,687598.8710000004
1,2010-12-01,42886.92
2,2010-12-02,40411.74999999995
3,2010-12-03,21989.670000000053
4,2010-12-05,31764.750000000033
5,2010-12-06,28109.470000000045
6,2010-12-07,28960.32000000004
7,2010-12-08,38922.749999999985
8,2010-12-09,31731.120000000046
9,2010-12-10,30153.690000000006
10,2010-12-12,17004.62000000001
11,2011-01-04,12122.35
12,2011-01-05,26531.480000000047
13,2011-01-06,34360.19000000004
14,2011-01-07,23796.530000000024
15,2011-01-09,15777.550000000003
16,2011-01-10,15346.280000000006
17,2011-01-11,21927.090000000022
18,2011-01-12,17150.249999999996
19,2011-02-01,26373.680000000015
20,2011-02-02,17142.84
21,2011-02-03,19998.56000000001
22,2011-02-04,17062.46000000001
23,2011-02-06,3455.8100000000013
24,2011-02-07,14619.910000000007
25,2011-02-08,14167.090000000007
26,2011-02-09,11920.599999999995
27,2011-02-10,13339.669999999996
28,2011-02-11,16342.720000000007
29,2011-03-01,22240.370000000017
30,2011-03-02,16191.320000000003
31,2011-03-03,31432.48000000001
32,2011-03-04,16603.07
33,2011-03-06,9994.440000000002
34,2011-03-07,19783.520000000015
35,2011-03-08,21919.339999999975
36,2011-03-09,20345.870000000006
37,2011-03-10,24430.460000000025
38,2011-03-11,17510.69
39,2011-04-01,22723.840000000015
40,2011-04-03,6909.279999999995
41,2011-04-04,22917.53000000003
42,2011-04-05,25181.170000000002
43,2011-04-06,12720.570000000002
44,2011-04-07,16820.760000000017
45,2011-04-08,20348.849999999995
46,2011-04-10,9911.33000000001
47,2011-04-11,20175.73
48,2011-04-12,24023.539999999986
49,2011-05-01,6973.66
50,2011-05-03,20610.59999999998
51,2011-05-04,27529.760000000013
52,2011-05-05,25232.460000000006
53,2011-05-06,30143.06000000002
54,2011-05-08,18864.710000000046
55,2011-05-09,21624.409999999985
56,2011-05-10,29866.48000000001
57,2011-05-11,30954.680000000026
58,2011-05-12,57545.440000000024
59,2011-06-01,15389.010000000006
60,2011-06-02,28103.420000000006
61,2011-06-03,13549.379999999994
62,2011-06-05,25632.38
63,2011-06-06,16288.49000000001
64,2011-06-07,33899.400000000016
65,2011-06-08,30188.009999999977
66,2011-06-09,25829.71
67,2011-06-10,18328.620000000003
68,2011-06-12,11637.739999999978
69,2011-07-01,12184.53000000001
70,2011-07-03,6025.899999999998
71,2011-07-04,14977.449999999992
72,2011-07-05,24685.879999999983
73,2011-07-06,22956.380000000005
74,2011-07-07,27294.969999999983
75,2011-07-08,17553.509999999995
76,2011-07-10,5985.1999999999925
77,2011-07-11,20077.80000000001
78,2011-07-12,15853.979999999987
79,2011-08-01,19804.119999999995
80,2011-08-02,19024.69999999999
81,2011-08-03,26616.410000000044
82,2011-08-04,51026.69999999993
83,2011-08-05,19824.360000000026
84,2011-08-07,7576.959999999997
85,2011-08-08,19757.0
86,2011-08-09,25956.16000000004
87,2011-08-10,19858.760000000002
88,2011-08-11,50413.68000000005
89,2011-08-12,17969.58999999999
90,2011-09-01,36442.550000000025
91,2011-09-02,27254.96999999999
92,2011-09-04,16592.079999999998
93,2011-09-05,34223.45000000002
94,2011-09-06,25493.0
95,2011-09-07,21965.56
96,2011-09-08,22866.84999999999
97,2011-09-09,25137.339999999993
98,2011-09-11,35507.79
99,2011-09-12,27984.710000000003
100,2011-10-02,11492.209999999983
101,2011-10-03,53111.98999999996
102,2011-10-04,35127.86000000003
103,2011-10-05,68699.14000000003
104,2011-10-06,52949.640000000065
105,2011-10-07,41378.440000000024
106,2011-10-09,12460.770000000004
107,2011-10-10,41685.610000000066
108,2011-10-11,42091.73000000003
109,2011-10-12,27725.399999999994
110,2011-11-01,29129.060000000038
111,2011-11-02,37514.89000000002
112,2011-11-03,48369.040000000066
113,2011-11-04,54490.630000000005
114,2011-11-06,42933.20000000003
115,2011-11-07,28776.170000000046
116,2011-11-08,38281.15999999998
117,2011-11-09,54961.14000000002
118,2011-11-10,67904.85000000008
119,2011-11-11,37075.1
120,2011-12-01,43745.14999999999
121,2011-12-02,39833.05999999998
122,2011-12-04,20368.45000000001
123,2011-12-05,56594.080000000075
124,2011-12-06,44501.74000000005
125,2011-12-07,51525.410000000054
126,2011-12-08,40734.57000000008
127,2011-12-09,15877.649999999996
